id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,teamName,Position
2778710661,213,5,1,33,27,12ksg0e6d70senzilsic40fzl,1,80.1,101.8,5529096929,56,Left,5529096931,347,,5529096933,233,266,,,,,,,,,,,,,,,,pf04royfgavano96z7n7x3v9,Lalthuammawia Ralte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2778710633,266,5,1,33,27,7xo09xnh3y03lyai6azr77fo0,0,19.9,-1.8,5529096939,233,213,5529096781,347,,5529096779,56,Back,,,,,,,,,,,,,,,,27cg2gd6m8m4cw75j37dquxud,Redeem Tlang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710705,214,1,1,33,49,12ksg0e6d70senzilsic40fzl,0,75.9,100,5529097173,213,5.71,5529097171,212,10.1,5529097165,56,Left,5529097167,140,84,5529097169,141,93.4,5529097163,107,,,,,,,,eisspzerdcz21ukznum5q30bu,Mohammed Salah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710719,215,43,1,33,50,12ksg0e6d70senzilsic40fzl,1,0,0,5529097243,56,Left,5529097497,144,1,5529097251,213,2.77,5529097247,141,97.5,5529097249,212,10.2,5529097245,140,75.2,,,,,,,99cjmvx4xlyzhyf6wxlvisb11,Sunil Chhetri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710717,267,12,1,33,52,7xo09xnh3y03lyai6azr77fo0,1,8.5,4.1,5529097229,140,29.3,5529097231,141,2.1,5529103985,15,,5529097233,212,21.9,5529097235,213,6.22,5529097227,56,Back,,,,,,,5g8572gxi73ztuk13kttx9b84,Thoi Singh Huidrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710729,216,2,1,33,54,12ksg0e6d70senzilsic40fzl,1,71.4,96.9,5529097337,7,7wpltjujzubkwy1k57jzcwafp,5529097303,141,73.6,5529097339,56,Center,5529097301,140,90.7,,,,,,,,,,,,,eisspzerdcz21ukznum5q30bu,Mohammed Salah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710731,268,55,1,33,54,7xo09xnh3y03lyai6azr77fo0,1,15.1,8,,,,,,,,,,,,,,,,,,,,,,,,,27cg2gd6m8m4cw75j37dquxud,Redeem Tlang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710769,269,1,1,34,15,7xo09xnh3y03lyai6azr77fo0,1,14.3,32.2,5529097569,141,6.8,5529097565,56,Back,5529097573,213,5.7,5529097571,212,31.2,5529097563,241,,5529097561,5,,5529104043,189,,5529097567,140,39.1,f1tuc3g6x0bvykbf3l6kckhnu,Gurmeet Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,Goalkeeper
2778710771,270,1,1,34,18,7xo09xnh3y03lyai6azr77fo0,0,41.6,7,5529097577,155,,5529097585,212,25.3,5529097587,213,0.88,5529097579,56,Center,5529097583,141,35.7,5529097581,140,57,,,,,,,27cg2gd6m8m4cw75j37dquxud,Redeem Tlang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710773,217,1,1,34,18,12ksg0e6d70senzilsic40fzl,0,38.9,65.5,5529097595,212,27.3,5529097597,213,0.02,5529097589,56,Center,5529097591,140,64.9,5529097593,141,66.3,,,,,,,,,,c8xdtls9ueivjll19yvp5wq1h,Pedro Capó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710783,271,1,1,34,21,7xo09xnh3y03lyai6azr77fo0,1,40.9,33.4,5529097641,141,64.8,5529097637,56,Back,5529097643,212,24.1,5529097645,213,2.06,5529097639,140,30.2,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Muthu Mayakkannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710793,272,1,1,34,25,7xo09xnh3y03lyai6azr77fo0,0,34.7,66.6,5529097683,155,,5529097689,141,36.6,5529097687,140,55.8,5529097685,56,Center,5529097691,212,30.1,5529097693,213,5.54,,,,,,,awmnvgz0piarvn8o7b7zk57f9,Míchel Zabaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710795,218,49,1,34,27,12ksg0e6d70senzilsic40fzl,1,44,66.7,,,,,,,,,,,,,,,,,,,,,,,,,99cjmvx4xlyzhyf6wxlvisb11,Sunil Chhetri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710819,219,1,1,34,28,12ksg0e6d70senzilsic40fzl,1,46.3,54.2,5529097803,56,Center,5529097809,212,15.4,5529097807,141,33.4,5529097805,140,52.1,5529097811,213,5.12,,,,,,,,,,99cjmvx4xlyzhyf6wxlvisb11,Sunil Chhetri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710815,273,83,1,34,32,7xo09xnh3y03lyai6azr77fo0,0,64.4,65.8,5529097879,399,jtmpumg28emowvrre2ujqtw5,,,,,,,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710821,220,50,1,34,34,12ksg0e6d70senzilsic40fzl,1,40.6,35,5529097867,233,274,5529097817,286,,5529097815,56,Back,,,,,,,,,,,,,,,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710827,274,7,1,34,34,7xo09xnh3y03lyai6azr77fo0,0,59.4,65,5529097859,233,220,5529097857,285,,5529097855,56,Center,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710839,221,1,1,34,38,12ksg0e6d70senzilsic40fzl,1,45.4,22.5,5529097947,212,19.9,5529097945,141,7.7,5529097949,213,5.75,5529097943,140,61.8,5529097941,56,Right,,,,,,,,,,c8xdtls9ueivjll19yvp5wq1h,Pedro Capó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710847,222,1,1,34,39,12ksg0e6d70senzilsic40fzl,1,61.2,7.6,5529097975,56,Back,5529097977,140,46.3,5529097979,141,12.2,5529097983,213,2.94,5529097981,212,16,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710859,223,1,1,34,42,12ksg0e6d70senzilsic40fzl,0,46.3,12.2,5529098035,213,0.25,5529098027,56,Center,5529098029,140,100,5529098033,212,59.5,5529098031,141,34.2,5529098025,157,,5529098037,1,,,,,c8xdtls9ueivjll19yvp5wq1h,Pedro Capó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710923,224,5,1,34,44,12ksg0e6d70senzilsic40fzl,0,100.8,31.8,5529098405,233,275,5529098375,56,Center,5529098377,346,,,,,,,,,,,,,,,,,c8xdtls9ueivjll19yvp5wq1h,Pedro Capó,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
