id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,assist,teamName,Position
2778536757,155,12,1,16,48,ajwqetklk0m22x7ifsjax5yi,1,22.6,79,5528093321,212,41.6,5528093323,213,6.18,5528093315,56,Center,5528093317,140,62,5528093319,141,72.6,,,,,,,,,,31g5m4lerjmoykobyt8cckxxx,Imran Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536759,142,1,1,16,52,335mseh7gazfrf4eu6w9htw6i,1,34,37.3,5528093333,56,Back,5528093335,140,20.7,5528093341,213,3.03,5528093337,141,39.7,5528093339,212,14.1,,,,,,,,,,9j7ldugih7jluatsnjb1jcgd1,Zodingliana Adinga Ralte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536765,143,1,1,16,57,335mseh7gazfrf4eu6w9htw6i,1,23.2,43,5528093375,56,Back,5528093377,140,31.6,5528093379,141,62.3,5528093381,212,15.8,5528093383,213,0.98,,,,,,,,,,36coytybrizxbjsnpc0y4ojro,Padam Chettri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,Goalkeeper
2778536773,144,1,1,17,0,335mseh7gazfrf4eu6w9htw6i,1,30.5,66.1,5528093441,213,3.78,5528093439,212,21.1,5528093437,141,47.6,5528093433,56,Back,5528093435,140,14.4,,,,,,,,,,5rd9832gct7uy0acodmor8b11,Florent Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536781,145,1,1,17,4,335mseh7gazfrf4eu6w9htw6i,0,14.4,45.5,5528093471,212,34.4,5528093463,157,,5528093475,1,,5528093465,56,Back,5528093473,213,6.1,5528093467,140,46.6,5528093469,141,36.1,,,,36coytybrizxbjsnpc0y4ojro,Padam Chettri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC,Goalkeeper
2778536777,156,49,1,17,5,ajwqetklk0m22x7ifsjax5yi,1,61.1,64.6,,,,,,,,,,,,,,,,,,,,,,,,,7q0oc78bzao7g3iy7zoobmy1,Sourav Das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536783,157,1,1,17,6,ajwqetklk0m22x7ifsjax5yi,1,64.8,65.4,5528093485,56,Left,5528093491,212,20.3,5528093487,140,71.2,5528093489,141,93.5,5528093493,213,1.23,,,,,,,,,,7q0oc78bzao7g3iy7zoobmy1,Sourav Das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536789,158,1,1,17,9,ajwqetklk0m22x7ifsjax5yi,1,71.6,93.2,5528093521,213,4.99,5528093517,141,85.7,5528093519,212,5.3,5528093515,140,73,5528093513,56,Left,,,,,,,,,,3e4twzsgwcxza9739q17gn4h6,Ritwik Das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536791,159,50,1,17,13,ajwqetklk0m22x7ifsjax5yi,1,72.2,91.6,5528093527,286,,5528093577,233,147,5528093525,56,Left,,,,,,,,,,,,,,,,e2kge0d4o0jg6ndxsq0tm0x9m,Jordan Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536801,147,7,1,17,13,335mseh7gazfrf4eu6w9htw6i,1,27.8,8.4,5528093573,233,159,5528093571,285,,5528093569,56,Back,,,,,,,,,,,,,,,,evsrix4aokl5o7dlx9zc41h49,França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
