id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,teamName,Position
2780937727,505,19,2,55,34,12ksg0e6d70senzilsic40fzl,1,0,0,5541149961,44,Forward,5541149955,59,11,5541149959,293,1,5541149957,292,9,5541149949,42,,5541149963,55,504,5541149953,145,11,,,,99cjmvx4xlyzhyf6wxlvisb11,Sunil Chhetri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937733,506,1,2,55,41,12ksg0e6d70senzilsic40fzl,1,99.3,99.9,5541150031,141,51.6,5541150029,140,88.9,5541150019,2,,5541150021,6,,5541150023,155,,5541150033,212,34.6,5541150025,224,,5541150027,56,Center,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,5541150037,1,,5541150035,213,1,5541154657,154,5541154655,210,,,,4.39,,15,,,,,,,,,,,,,,Bengaluru FC, 
2780937837,512,15,2,55,46,12ksg0e6d70senzilsic40fzl,1,92.7,54,5541154663,72,,5541154683,147,53.2,5541194657,80,,5541154689,233,445,5541154669,154,,5541154681,146,93.4,5541154675,102,46.5,5541154661,25,,duxnzil70n1147w8ob8ooxo89,Chinglensana Singh,5541154677,103,19,5541150787,56,,5541150785,17,5541154667,29,5541154687,231,50.9,Center,,,5541154671,55,5541154685,230,99.1,5541154679,82,,,,,,506,Bengaluru FC, 
2780938319,445,10,2,55,46,1kqb5u8em0tj1k40607w2vtl4,1,6.7,50.5,5541153917,94,,5541154695,233,512,5541153919,56,Back,,,,,,,,,,,,,,,,evpkruwe8cis1pfkujwfwr9hx,Pritam Kotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937741,508,15,2,55,47,12ksg0e6d70senzilsic40fzl,1,92.7,43.6,5541150749,79,,5541150527,20,,5541150525,25,,5541150059,56,Center,5541150755,328,,5541150765,233,406,5541150757,458,,5541150753,103,23.4,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,5541150057,17,,5541150759,146,,5541150761,147,5541150751,102,,,,98.2,49.1,49.1,,,,,,,,,,,,,,Bengaluru FC, 
2780937731,406,10,2,55,47,1kqb5u8em0tj1k40607w2vtl4,1,2.6,49.7,5541150013,178,,5541150771,233,508,5541150011,173,,5541150015,182,,5541150017,56,Back,,,,,,,,,,a9gquocdgtb8bpk99a5a110mi,Mohammad Nawaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,Goalkeeper
2780937735,507,43,2,55,47,12ksg0e6d70senzilsic40fzl,1,0,0,5541150041,56,Center,5541154725,144,61,,,,,,,,,,,,,,,,,,,duxnzil70n1147w8ob8ooxo89,Chinglensana Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937739,407,52,2,55,48,1kqb5u8em0tj1k40607w2vtl4,1,5.2,45.5,,,,,,,,,,,,,,,,,,,,,,,,,a9gquocdgtb8bpk99a5a110mi,Mohammad Nawaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,Goalkeeper
2780937769,408,1,2,56,7,1kqb5u8em0tj1k40607w2vtl4,0,6.2,46.9,5541150261,212,88.1,5541150265,1,,5541150253,199,,5541150259,141,54.9,5541150257,140,89.9,5541150255,56,Center,5541150263,213,0.06,,,,a9gquocdgtb8bpk99a5a110mi,Mohammad Nawaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,Goalkeeper
2780937771,509,52,2,56,10,12ksg0e6d70senzilsic40fzl,1,9.7,51.2,,,,,,,,,,,,,,,,,,,,,,,,,et5ztuwgv6uaiste9nxba9h3p,Gurpreet Singh Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2780937791,510,1,2,56,23,12ksg0e6d70senzilsic40fzl,0,9.3,44.6,5541150417,213,0.42,5541150419,1,,5541150415,212,94.1,5541150411,140,91.2,5541150409,56,Left,5541150407,199,,5541150413,141,100,,,,et5ztuwgv6uaiste9nxba9h3p,Gurpreet Singh Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2780937793,409,5,2,56,26,1kqb5u8em0tj1k40607w2vtl4,1,23.1,-1,5541150421,56,Back,5541194247,347,,5541150517,233,511,,,,,,,,,,,,,,,,a9gquocdgtb8bpk99a5a110mi,Mohammad Nawaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,Goalkeeper
