id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,assist,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,teamName,Position
2777237151,192,3,1,20,18,335mseh7gazfrf4eu6w9htw6i,0,76.7,96.2,5520883769,56,Left,5520883771,286,,5520884131,233,165,,,,,,,,,,,,,,,,51kwsfsllwjzbvbuibze1ilg4,Vanlalzuidika Chhakchhuak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232615,165,7,1,20,18,28au628w8n2jhgujuwh3y5d8k,1,23.3,3.8,5520858513,56,Back,5520884113,233,192,5520858515,285,,5520858511,167,,,,,,,,,,,,,,369ef7pxl6ckbg088w9zi36ne,Mohammad Rakip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777232623,166,5,1,20,19,28au628w8n2jhgujuwh3y5d8k,0,24,-1.8,5520858545,56,Back,5520858547,347,,5520858753,233,168,,,,,,,,,,,,,,,,369ef7pxl6ckbg088w9zi36ne,Mohammad Rakip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777232639,168,5,1,20,19,335mseh7gazfrf4eu6w9htw6i,1,76,101.8,5520858617,347,,5520858615,56,Left,5520858701,233,166,,,,,,,,,,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232687,169,1,1,20,21,335mseh7gazfrf4eu6w9htw6i,1,73.3,100,5520858905,141,91.7,5520858899,107,,5520858907,212,13.5,5520858901,56,Left,5520858909,213,3.65,5520858903,140,62.1,,,,,,,51kwsfsllwjzbvbuibze1ilg4,Vanlalzuidika Chhakchhuak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232713,170,1,1,20,24,335mseh7gazfrf4eu6w9htw6i,0,61.2,86.4,5520859095,213,5.25,5520859085,155,,5520859089,140,83.5,5520859091,141,29,5520859097,1,,5520859087,56,Center,5520859083,2,,5520859093,212,45.5,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232769,167,49,1,20,28,28au628w8n2jhgujuwh3y5d8k,1,20.9,96.8,,,,,,,,,,,,,,,,,,,,,,,,,7i3zwc7zfo75m8xu49e4faqz8,Vishnu P V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777232839,168,1,1,20,30,28au628w8n2jhgujuwh3y5d8k,1,26.6,95,5520859755,141,93.2,5520859759,213,6.22,5520859757,212,18.9,5520859751,56,Back,5520859753,140,44.6,,,,,,,,,,7i3zwc7zfo75m8xu49e4faqz8,Vishnu P V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777232881,169,1,1,20,32,28au628w8n2jhgujuwh3y5d8k,1,44.6,93.2,5520860023,141,81.8,5520860031,213,4.24,5520860019,140,40.8,5520860027,212,8.7,5520860015,56,Back,,,,,,,,,,8bz6754ot1g7gd2k90qfqnuy2,Raphael Messi Bouli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777232949,170,1,1,20,33,28au628w8n2jhgujuwh3y5d8k,0,40.8,81.8,5520860391,155,,5520860397,141,83,5520860405,1,,5520860395,140,80.8,5520860401,212,42,5520860393,56,Left,5520860403,213,0.02,,,,dgiqagc8iygqc0a1f3gj03q0a,Mahesh Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
