id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,,qualifier/15/value,teamName,Position
2776248599,431,1,2,51,25,8uacz8yrceknwsreon4rb5i8o,1,5,63,5515643563,212,25.9,5515643555,124,,5515643559,140,11.9,5515643557,56,Back,5515643569,237,,5515643561,141,26.4,5515643565,213,5,,,,eu9kw6jcgneygerxqlfj00r11,Ravi Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,Goalkeeper
2776248653,372,44,2,51,30,1kqb5u8em0tj1k40607w2vtl4,0,26.4,88.2,5515643829,285,,5515643827,56,Back,5515644439,233,434,,,,,,,,,,,,,,,,9o2dyl3cbm2ni3874doydh49h,Ryan Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776248643,432,1,2,51,30,8uacz8yrceknwsreon4rb5i8o,1,21.5,10.1,5515643807,213,0.02,5515643801,140,66.2,5515643809,1,,5515643805,212,46.9,5515643797,155,,5515643799,56,Right,5515643803,141,11.3,,,,5ku3ut12bd65rq9qoobyv2jh0,Melroy Assisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776248773,434,44,2,51,32,8uacz8yrceknwsreon4rb5i8o,1,73.6,11.8,5515644409,56,Right,5515644419,233,372,5515644411,286,,,,,,,,,,,,,,,,,2n6c8ciuley3hz0fnt6gn4zpx,Luka Majcen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776248659,433,1,2,51,33,8uacz8yrceknwsreon4rb5i8o,0,66.3,11.1,5515643837,56,Right,5515643843,212,10.6,5515643835,3,,5515643839,140,58.1,5515643845,213,2.51,5515643841,141,20.3,,,,,,,2n6c8ciuley3hz0fnt6gn4zpx,Luka Majcen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776248691,373,49,2,51,36,1kqb5u8em0tj1k40607w2vtl4,1,39.6,86.5,,,,,,,,,,,,,,,,,,,,,,,,,8s6nlre415t2uxinzkx3w0xlg,Lalrinliana Hnamte,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776248755,374,1,2,51,37,1kqb5u8em0tj1k40607w2vtl4,0,40.9,86.9,5515644339,212,37.1,5515644343,1,,5515644335,140,75.7,5515644337,141,96,5515644341,213,0.17,5515644333,56,Left,,,,,,,8s6nlre415t2uxinzkx3w0xlg,Lalrinliana Hnamte,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776248863,375,1,2,51,45,1kqb5u8em0tj1k40607w2vtl4,1,68.7,94.1,5515644863,56,Left,5515644869,212,4.2,5515644865,140,72.4,5515644867,141,91.8,5515644871,213,5.9,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776248911,376,1,2,51,46,1kqb5u8em0tj1k40607w2vtl4,1,72.4,92.1,5515645115,140,83.5,5515645119,212,11.9,5515645117,141,88.9,5515645113,56,Left,5515645121,213,6.1,,,,,,,,,,dkk86y8pa3svtz43c0m55qn6x,Connor Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776248933,377,1,2,51,49,1kqb5u8em0tj1k40607w2vtl4,0,84.2,88.9,5515645223,140,94,5515645227,212,27.6,5515645225,141,51.2,5515645221,56,Center,5515645229,213,5.09,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
