id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,teamName,Position
2779156813,579,1,2,65,19,8uacz8yrceknwsreon4rb5i8o,1,67.3,85.6,5531526453,213,0.53,5531526449,141,95.9,5531526447,140,78.7,5531526451,212,13.9,5531526445,56,Left,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156827,580,1,2,65,22,8uacz8yrceknwsreon4rb5i8o,1,70.7,90.3,5531526521,140,76.1,5531526523,141,78.1,5531526519,56,Center,5531526527,213,5.31,5531526525,212,10,,,,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156833,581,1,2,65,24,8uacz8yrceknwsreon4rb5i8o,1,76,75.1,5531526569,213,3.83,5531526567,212,10.4,5531526565,141,65.4,5531526561,56,Center,5531526563,140,68.4,,,,,,,,,,d0b9bmoy2tfpyra3bra95rdhw,Likmabam Rakesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156839,582,1,2,65,25,8uacz8yrceknwsreon4rb5i8o,0,68.4,65.4,5531526605,213,5.74,5531526601,141,53.9,5531526599,140,80.7,5531526597,56,Center,5531526603,212,15.1,,,,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156893,476,12,2,65,29,28au628w8n2jhgujuwh3y5d8k,1,20.5,46.1,5531526923,140,65.3,5531526927,212,47.1,5531526929,213,0.03,5531526921,56,Center,5531526925,141,48.5,,,,,,,,,,6bgcubncyevstsj12znvexbhm,Anwar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779156937,583,1,2,65,32,8uacz8yrceknwsreon4rb5i8o,1,30.2,61.8,5531527213,140,35.1,5531527215,141,54.2,5531527211,56,Back,5531527219,213,5.5,5531527217,212,7.3,,,,,,,,,,eu9kw6jcgneygerxqlfj00r11,Ravi Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,Goalkeeper
2779156967,584,1,2,65,38,8uacz8yrceknwsreon4rb5i8o,1,38.1,50.4,5531527365,140,45.9,5531527369,212,18.2,5531527367,141,26.5,5531527363,56,Back,5531527371,213,5.18,,,,,,,,,,5hi3s09qsxkuv8l5nw8d8qqj9,Ivan Novoselec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157001,585,1,2,65,41,8uacz8yrceknwsreon4rb5i8o,1,45.9,26.5,5531527499,56,Right,5531527503,141,4.6,5531527501,140,69,5531527505,212,28.5,5531527507,213,5.73,,,,,,,,,,11xl1jtpjn674dw6yxfv33pey,Suresh Meitei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157061,586,1,2,65,45,8uacz8yrceknwsreon4rb5i8o,1,75.8,13.5,5531527769,213,1.1,5531527767,212,37.6,5531527757,2,,5531527759,155,,5531527765,141,62.7,5531527763,140,92.1,5531527771,1,,5531527761,56,Center,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157067,587,44,2,65,49,8uacz8yrceknwsreon4rb5i8o,1,94.5,63.4,5531527789,56,Center,5531527791,286,,5531527895,233,478,,,,,,,,,,,,,,,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779157081,478,44,2,65,49,28au628w8n2jhgujuwh3y5d8k,0,6.3,36.8,5531527865,285,,5531527861,56,Back,5531527951,233,587,,,,,,,,,,,,,,,,369ef7pxl6ckbg088w9zi36ne,Mohammad Rakip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779157083,588,1,2,65,49,8uacz8yrceknwsreon4rb5i8o,0,92.1,62.7,5531527873,56,Center,5531527881,212,7.4,5531527885,213,4.78,5531527879,141,51.8,5531527875,140,92.6,5531527871,3,,,,,,,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
