id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,teamName,Position
2781504069,916,44,2,87,22,9eqjks8amwm1ycytsoi7xld25,1,47.2,51.3,5544318159,56,Back,5544318161,285,,5544318247,233,682,,,,,,,,,,,,,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504085,682,44,2,87,22,8uacz8yrceknwsreon4rb5i8o,0,52.8,48.7,5544318239,56,Center,5544318253,233,916,5544318241,286,,,,,,,,,,,,,,,,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504077,917,1,2,87,22,9eqjks8amwm1ycytsoi7xld25,0,45,50.3,5544318181,56,Center,5544318185,141,65.1,5544318189,213,0.59,5544318183,140,59.2,5544318187,212,18,5544318179,3,,,,,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504101,683,1,2,87,26,8uacz8yrceknwsreon4rb5i8o,1,41.8,34.2,5544318313,213,3.67,5544318309,141,18.8,5544318307,140,24.8,5544318305,56,Back,5544318311,212,20.7,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504109,684,1,2,87,27,8uacz8yrceknwsreon4rb5i8o,1,24.8,18.8,5544318353,56,Center,5544318357,141,38,5544318361,213,0.34,5544318359,212,39.6,5544318355,140,60.4,5544318351,155,,5544318363,1,,,,,11xl1jtpjn674dw6yxfv33pey,Suresh Meitei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504111,685,1,2,87,29,8uacz8yrceknwsreon4rb5i8o,1,60.4,38,5544318367,56,Center,5544318373,212,7.7,5544318369,140,54.2,5544318397,156,,5544318371,141,44,5544318375,213,2.58,,,,,,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504119,918,59,2,87,31,9eqjks8amwm1ycytsoi7xld25,1,13.8,49.1,5544318419,56,Back,,,,,,,,,,,,,,,,,,,,,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,Goalkeeper
2781504145,919,12,2,87,32,9eqjks8amwm1ycytsoi7xld25,1,13.8,49.1,5544318585,212,33.2,5544318581,140,32.1,5544318579,56,Back,5544318583,141,88.9,5544318587,213,0.95,,,,,,,,,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,Goalkeeper
2781504131,686,1,2,87,33,8uacz8yrceknwsreon4rb5i8o,0,53,46.7,5544318465,56,Center,5544318481,213,6.18,5544318469,140,76.4,5544318477,212,24.7,5544318473,141,43,5544318463,155,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504147,920,61,2,87,37,9eqjks8amwm1ycytsoi7xld25,0,31.4,84.5,5544318589,56,Back,,,,,,,,,,,,,,,,,,,,,,cpodiheplpmn42lw8l2fdrjtg,Jay Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
