id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,teamName,Position
2793675373,10,49,1,0,22,ajwqetklk0m22x7ifsjax5yi,1,20.6,64.8,2025-03-30T14:00:51.065Z,2025-03-30T14:00:51Z,,,,,,,,,,,,,,,,,,,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675425,11,1,1,0,23,ajwqetklk0m22x7ifsjax5yi,1,19.7,64.8,2025-03-30T14:00:52.138Z,2025-03-30T14:00:55Z,5610900391,155,,5610900399,212,33.3,5610900397,141,69.7,5610900395,140,51.3,5610900401,213,0.1,5610900393,56,Center,5610900403,1,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675427,12,61,1,0,26,ajwqetklk0m22x7ifsjax5yi,0,57.7,71.1,2025-03-30T14:00:55.657Z,2025-03-30T14:00:56Z,5610900407,56,Center,,,,,,,,,,,,,,,,,,,,,,e2kge0d4o0jg6ndxsq0tm0x9m,Jordan Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675437,12,49,1,0,27,7xo09xnh3y03lyai6azr77fo0,1,46.2,6.1,2025-03-30T14:00:56.791Z,2025-03-30T14:00:56Z,,,,,,,,,,,,,,,,,,,,,,,,,27cg2gd6m8m4cw75j37dquxud,Redeem Tlang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675487,13,1,1,0,28,7xo09xnh3y03lyai6azr77fo0,0,47.2,3.7,2025-03-30T14:00:57.687Z,2025-03-30T14:01:01Z,5610900783,56,Center,5610900793,1,,5610900789,212,54.1,5610900781,155,,5610900791,213,0.32,5610900785,140,96.2,5610900787,141,28.5,,,,27cg2gd6m8m4cw75j37dquxud,Redeem Tlang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675603,13,49,1,0,35,ajwqetklk0m22x7ifsjax5yi,1,9.5,69.9,2025-03-30T14:01:04.282Z,2025-03-30T14:01:10Z,,,,,,,,,,,,,,,,,,,,,,,,,5jtd252do025958pgqkigc0d1,Albino Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,Goalkeeper
2793675741,14,1,1,0,45,ajwqetklk0m22x7ifsjax5yi,0,15.1,67.8,2025-03-30T14:01:13.961Z,2025-03-30T14:01:16Z,5610902193,1,,5610902183,140,68.9,5610902187,141,72,5610902189,212,56.6,5610902191,213,0.05,5610902181,56,Center,5610902179,157,,,,,5jtd252do025958pgqkigc0d1,Albino Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,Goalkeeper
2793675773,14,44,1,0,47,7xo09xnh3y03lyai6azr77fo0,1,31.2,26.1,2025-03-30T14:01:15.960Z,2025-03-30T14:01:18Z,5610902367,233,15,5610902341,56,Back,5610902343,285,,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675747,15,44,1,0,47,ajwqetklk0m22x7ifsjax5yi,0,68.7,75.8,2025-03-30T14:01:15.961Z,2025-03-30T14:01:17Z,5610902411,233,14,5610902215,56,Center,5610902217,286,,,,,,,,,,,,,,,,,e2kge0d4o0jg6ndxsq0tm0x9m,Jordan Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675791,15,1,1,0,48,7xo09xnh3y03lyai6azr77fo0,0,31.5,20.3,2025-03-30T14:01:17.319Z,2025-03-30T14:01:18Z,5610902477,213,4.68,5610902475,212,15.2,5610902473,141,0,5610902471,140,31,5610902469,56,Back,5610902467,3,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
