id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,teamName,Position
2779312125,488,27,2,55,34,9eqjks8amwm1ycytsoi7xld25,1,0,0,5532352063,233,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779315291,468,28,2,56,49,5yvw8xpbzap5lhlze04odtgk4,1,0,0,5532368111,55,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779315651,469,18,2,56,56,5yvw8xpbzap5lhlze04odtgk4,1,0,0,5532369901,44,Midfielder,5532369907,59,97,5532369899,41,,5532370001,55,470,,,,,,,,,,,,,dy0x2kt0h4e6fahxns2k5t2c4,Amawia (Lalthanmawia Renthlei),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779315663,470,19,2,56,56,5yvw8xpbzap5lhlze04odtgk4,1,0,0,5532369955,145,11,5532369957,59,19,5532369959,292,7,5532369951,41,,5532369963,44,Midfielder,5532369961,293,1,5532369965,55,469,,,,ccrqgyzzq44gpjva980k10gt0,Mohammed Aimen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779315735,490,28,2,56,58,9eqjks8amwm1ycytsoi7xld25,1,0,0,5532370283,55,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779358573,598,5,2,57,4,5yvw8xpbzap5lhlze04odtgk4,0,61.3,100.8,5532600225,347,,5532601413,233,491,5532600223,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779316057,491,5,2,57,4,9eqjks8amwm1ycytsoi7xld25,1,36,-0.9,5532601295,233,598,5532371853,347,,5532371849,56,Back,,,,,,,,,,,,,,,,dl5tnk2o8rwiacgbsnldojsdm,Boris Singh Thangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779316117,492,1,2,57,5,9eqjks8amwm1ycytsoi7xld25,0,43.9,0,5532372131,107,,5532372153,212,37.2,5532372139,140,66.4,5532373357,238,,5532372163,213,0.88,5532372171,1,,5532372135,56,Center,5532372145,141,41.3,dl5tnk2o8rwiacgbsnldojsdm,Boris Singh Thangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779316227,471,1,2,57,8,5yvw8xpbzap5lhlze04odtgk4,1,42.6,91.4,5532372763,140,35.4,5532372761,56,Back,5532372767,212,12.9,5532372769,213,4.08,5532372765,141,76.1,,,,,,,,,,arzfyvstbc17d1mioc40tidm2,Naocha Singh Huidrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779316285,472,1,2,57,9,5yvw8xpbzap5lhlze04odtgk4,1,34.7,73.3,5532373035,212,21.4,5532373029,56,Back,5532373031,140,34.1,5532373033,141,41.8,5532373037,213,4.68,,,,,,,,,,6r8f0lomojaqk37bz5ajprze1,Milos Drinčić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
