id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,assist,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,teamName,Position
2783637353,575,1,2,88,23,7xo09xnh3y03lyai6azr77fo0,1,58.3,41.8,5555886457,213,1.1,5555886449,56,Center,5555886455,212,5,5555886451,140,60.5,5555886453,141,48.4,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Mayakkannan Muthu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637363,576,1,2,88,25,7xo09xnh3y03lyai6azr77fo0,1,64.2,48.2,5555886519,56,Center,5555886523,141,42.4,5555886527,213,5.86,5555886521,140,72.6,5555886525,212,9.7,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637365,577,50,2,88,29,7xo09xnh3y03lyai6azr77fo0,1,72.6,39,5555886541,286,,5555886569,233,679,5555886539,56,Center,,,,,,,,,,,,,,,,5g8572gxi73ztuk13kttx9b84,Thoi Singh Huidrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637367,679,7,2,88,29,1kqb5u8em0tj1k40607w2vtl4,0,27.4,61,5555886543,56,Back,5555886545,285,,5555886561,233,577,,,,,,,,,,,,,,,,9h25nvm0qom316k8qamw5zh1w,Laldinpuia PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783637385,578,1,2,88,30,7xo09xnh3y03lyai6azr77fo0,1,59.8,37,5555886659,56,Center,5555886667,213,5.28,5555886661,140,66,5555886665,212,12.2,5555886663,141,21.9,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Mayakkannan Muthu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637389,579,1,2,88,36,7xo09xnh3y03lyai6azr77fo0,1,68.6,21.6,5555886713,141,6.4,5555886717,213,5.55,5555886709,56,Right,5555886711,140,79.5,5555886715,212,15.4,,,,,,,,,,8dzeq723volchfye1smryolt6,Alaeddine Ajaraie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637401,580,1,2,88,37,7xo09xnh3y03lyai6azr77fo0,1,79.5,6.4,5555886787,140,98.8,5555886785,56,Right,5555886791,212,22.5,5555886789,141,20.7,5555886793,213,0.45,,,,,,,,,,989i9o2rat334wwkdlqssejh0,Robin Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637405,581,3,2,88,42,7xo09xnh3y03lyai6azr77fo0,0,90,6.8,5555886855,233,680,5555886799,286,,5555886797,56,Right,,,,,,,,,,,,,,,,27cg2gd6m8m4cw75j37dquxud,Redeem Tlang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637409,680,7,2,88,42,1kqb5u8em0tj1k40607w2vtl4,1,10,93.2,5555886833,285,,5555886845,233,581,5555886831,56,Back,5555886829,167,,,,,,,,,,,,,,5phslvtihgvzghwa9dqmqtune,Lukas Brambilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783637411,582,5,2,88,44,7xo09xnh3y03lyai6azr77fo0,1,91.6,-1.2,5555886869,347,,5555886901,233,681,5555886867,56,Right,,,,,,,,,,,,,,,,27cg2gd6m8m4cw75j37dquxud,Redeem Tlang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637415,681,5,2,88,44,1kqb5u8em0tj1k40607w2vtl4,0,9,101.4,5555886905,233,582,5555886897,56,Back,5555886899,347,,,,,,,,,,,,,,,,,5phslvtihgvzghwa9dqmqtune,Lukas Brambilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783637489,583,1,2,89,15,7xo09xnh3y03lyai6azr77fo0,1,91,0,5555887305,212,21.8,5555887301,140,70.9,5555887309,1,,5555887299,56,Right,5555887307,213,2.88,5555887297,107,,5555887303,141,6.7,,,,989i9o2rat334wwkdlqssejh0,Robin Yadav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637499,584,1,2,89,16,7xo09xnh3y03lyai6azr77fo0,1,68.7,6.7,5555887363,213,2.04,5555887357,140,53.3,5555887365,1,,5555887361,212,35.6,5555887355,56,Center,5555887359,141,53.4,,,,,,,6vak9npg73k6di2oagxg8ttgq,Mayakkannan Muthu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637501,585,1,2,89,19,7xo09xnh3y03lyai6azr77fo0,1,53.4,53.6,5555887373,140,45.1,5555887377,212,21,5555887379,213,4.28,5555887371,56,Back,5555887375,141,25.5,,,,,,,,,,awmnvgz0piarvn8o7b7zk57f9,Míchel Zabaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637507,586,1,2,89,22,7xo09xnh3y03lyai6azr77fo0,1,45.1,25.3,5555887409,140,54.9,5555887407,56,Right,5555887415,213,5.44,5555887411,141,8.2,5555887413,212,15.5,,,,,,,,,,dpg6dskbwuf9die5imz7z1y7e,Soraisham Dinesh Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637517,587,1,2,89,26,7xo09xnh3y03lyai6azr77fo0,1,55.6,8.5,5555887479,140,73,5555887483,212,19,5555887485,213,0.27,5555887477,56,Right,5555887481,141,15.9,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Mayakkannan Muthu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637519,588,15,2,89,30,7xo09xnh3y03lyai6azr77fo0,1,73.2,30.1,5555892367,231,48.9,5555892355,102,50.1,5555892365,230,99.4,5555892357,103,19,5555892353,78,,5555887491,22,,5555892321,82,,5555892363,147,38.6,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,5555892359,458,5555892381,233,5555892317,20,5555887493,18,,5555892361,146,5555887495,56,Center,682,,,,,,,84.6,,,,,,,Northeast United FC,
2783637525,682,10,2,89,30,1kqb5u8em0tj1k40607w2vtl4,1,15.4,61.4,5555887515,94,,5555892387,233,588,5555887517,56,Back,,,,,,,,,,,,,,,,9h25nvm0qom316k8qamw5zh1w,Laldinpuia PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
