id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/15/value,assist
2772723655,155,1,1,13,14,1,44.5,71.2,5496333521,56,Back,5496333523,140,44.1,5496333529,213,4.69,5496333527,212,18.6,5496333525,141,43.9,,,,,,,,,,5hmx68vjqij9ywdv61v2qyrmy,Alberto Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723665,156,1,1,13,16,1,42.2,35.8,5496333593,56,Right,5496333601,213,5.45,5496333597,141,9.1,5496333595,140,57.9,5496333599,212,24.5,,,,,,,,,,cdd3to4e3ac0d61iy3vtp6pzo,Dippendu Biswas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723677,157,1,1,13,19,0,58.8,7.4,5496333659,213,0.29,5496333657,212,29.1,5496333655,141,19.8,5496333653,140,85.3,5496333651,56,Right,,,,,,,,,,ck9nyxv100c1x24zxde7fx1t6,Asish Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723689,120,12,1,13,23,1,8.2,94.4,5496333715,213,0.55,5496333735,167,,5496333713,212,9.1,5496333707,56,Back,5496333711,141,100,5496333709,140,15.6,,,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723691,121,5,1,13,23,0,14.8,101.2,5496333723,56,Back,5496333853,233,158,5496333725,347,,,,,,,,,,,,,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723713,158,5,1,13,23,1,85.2,-1.2,5496333849,233,121,5496333845,347,,5496333843,56,Right,,,,,,,,,,,,,,,,ck9nyxv100c1x24zxde7fx1t6,Asish Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723717,159,1,1,13,28,1,86.2,0,5496333881,213,1.67,5496333877,141,11.4,5496333879,212,9.2,5496333871,107,,5496333873,56,Right,5496333875,140,85.3,,,,,,,1cclqc2tw3zav2if1cqij7ofe,Manvir Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723725,160,1,1,13,29,1,85.3,11.4,5496333917,56,Right,5496333919,140,87,5496333925,213,4.97,5496333923,212,7.1,5496333921,141,1.3,,,,,,,,,,1rsxl4rnswqez6c6rwp7768r9,Greg Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723735,161,1,1,13,31,1,87,1.3,5496333975,141,25.8,5496333971,56,Center,5496333973,140,80.7,5496333977,212,17.9,5496333979,213,1.95,,,,,,,,,,1cclqc2tw3zav2if1cqij7ofe,Manvir Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723801,125,83,1,13,33,0,21.3,69.8,5496334669,399,wx88q7cbam0swyvjt262qui,,,,,,,,,,,,,,,,,,,,,,8js8a2yz6jly94vf0ilyg76s4,Tekcham Abhishek Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723747,162,1,1,13,35,1,77.8,38.2,5496334051,56,Center,5496334053,140,68.8,5496334055,141,61.2,5496334059,213,2.11,5496334057,212,18.3,,,,,,,,,,wx88q7cbam0swyvjt262qui,Sahal Abdul Samad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723757,163,1,1,13,37,1,69.1,64.5,5496334133,140,80.1,5496334131,56,Left,5496334135,141,91.7,5496334137,212,21.8,5496334139,213,1.01,,,,,,,,,,825wa3surm6iii587l4ekx7mx,Subhasish Bose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723759,164,1,1,13,40,0,80.1,91.7,5496334149,2,,5496334157,141,55.2,5496334159,212,25.9,5496334153,56,Center,5496334151,155,,5496334161,213,5,5496334155,140,87.2,,,,4sqnd13g7n9e4orv6hcp27fxm,Liston Colaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
